GenerateId,LoanContractID,BankAccountID,BankRoutingID,BankCountryCode,BorrowerID,BorrowerTxt,BorrowerName,BorrowerCategory,BorrowerCategoryTxt,BorrowerCountry,BorrowerCountryTxt,BorrowerRegion,BorrowerRegionTxt,BorrowerCity,ManagerID,ManagerTxt,BankPostingArea,BankPostingAreaTxt,ProductID,ProductTxt,Currency,InitialLoanAmount,StartDate,LifeCycleStatus,LifeCycleStatusTxt,CreationDate,CreationDateTime,CreationUserID,LastChangeDate,LastChangeDateTime,LastChangeUserID,NominalInterestRate,RepaymentAmount,RepaymentPercentage,LimitTotalAmount,DirectDebitBankAccountHolder,DirectDebitBankAccount,DirectDebitBankAccountID,DirectDebitBankRoutingID,DirectDebitBankCountryCode,TermSpecificationStartDate,TermSpecificationEndDate,TermSpecificationValidityPeriodDuration,TermAgreementCommittedCapitalAmount,TermAgreementFixingPeriodStartDate,TermAgreementFixingPeriodEndDate,PaymentPlanStartDate,PaymentPlanEndDate,EffectiveYieldPercentage,EffectiveYieldCalculationReason,EffectiveYieldCalculationReasonTxt,EffectiveYieldCalculationMethod,EffectiveYieldCalculationMethodTxt,EffectiveYieldValidityStartDate,EffectiveYieldCalculationPeriodStartDate,EffectiveYieldCalculationPeriodEndDate,AccountLocked,ContractCapital,CommitmentCapital,CurrentContractCapital,CurrentCommitmentCapital,DisbursedCapital,PlannedCapital,EffectiveCapital,OutstandingInterest,RemainingCapital,OutstandingCharges,DisbursementObligation,InterestPaid,AccruedInterest,OutstandingBalance,RedrawBalance,CurrentOpenItemsAmount,CurrentOpenItemsCounter,CurrentOldestDueDate,CurrentOverdueDays,LiASchemaCluster,LiASchemaClusterTxt,SalesProduct,SalesProductTxt,Warehouse,WarehouseTxt,WarehouseValidFrom,DocumentType,DocumentTypeTxt,EmploymentStatus,EmploymentStatusTxt,MonthsTrading,DefaultJudgements,HardshipStatus,HardshipStatusTxt,PropertyInPossession,PropertyInPossessionTxt,SplitLoan,ArrearsHistory,StageLevel,TotalOfPayments,RepaymentFrequencyTxt,Counter
.2~00000000005&c111&cMX.3~000000,00000000005-111-MX,00000000005,111,MX,0001001706,Kira Rohan / some-value some-value / 08100 Disctric Name - some-value-Disctric N,Kira Rohan,1,Person,MX,México,,,some-value,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,200000.00,20220120,30,"activos, utilizados",20220120,/Date(1642642700000)/,TU_SCP_NCO,20220831,/Date(1661921052000)/,BATCH_USER,47.000000,36033.21,0.000000,200000.00,1001706,10000002960-111-MX,10000002960,111,MX,20220120,20220420,P3M,200000.00,20220120,20220420,19000101,99991231,0.000000,,,,,,,,False,200000.00,0.00,200000.00,0.00,0.00,200000.00,0.00,0.00,0.00,0.00,200000.00,0.00,0.00,0.00,0.00,0.00,0,,0,,,,,,,20220120,,,,,,,,,N,No,,,1,0,Quincenal,1
.2~00000000006&c111&cMX.3~000000,00000000006-111-MX,00000000006,111,MX,0001001712,Kira Rohan / some-value some-value / 08100 Disctric Name - some-value-Disctric N,Kira Rohan,1,Person,MX,México,,,some-value,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,200000.00,20220120,30,"activos, utilizados",20220120,/Date(1642643154000)/,TU_SCP_NCO,20220831,/Date(1661920973000)/,BATCH_USER,47.000000,36033.21,0.000000,200000.00,1001712,10000002964-111-MX,10000002964,111,MX,20220120,20220420,P3M,200000.00,20220120,20220420,19000101,99991231,0.000000,,,,,,,,False,200000.00,0.00,200000.00,0.00,0.00,200000.00,0.00,0.00,0.00,0.00,200000.00,0.00,0.00,0.00,0.00,0.00,0,,0,,,,,,,20220120,,,,,,,,,N,No,,,1,0,Quincenal,1
.2~00000000010&c111&cMX.3~000000,00000000010-111-MX,00000000010,111,MX,0001001720,Louie Kozey / some-value some-value / 08100 Disctric Name - some-value-Disctric,Louie Kozey,1,Person,MX,México,,,some-value,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,200000.00,20220120,30,"activos, utilizados",20220120,/Date(1642647746000)/,TU_SCP_NCO,20220831,/Date(1661921027000)/,BATCH_USER,47.000000,36033.21,0.000000,200000.00,1001720,10000002976-111-MX,10000002976,111,MX,20220120,20220420,P3M,200000.00,20220120,20220420,19000101,99991231,0.000000,,,,,,,,False,200000.00,0.00,200000.00,0.00,0.00,200000.00,0.00,0.00,0.00,0.00,200000.00,0.00,0.00,0.00,0.00,0.00,0,,0,,,,,,,20220120,,,,,,,,,N,No,,,1,0,Quincenal,1
.2~00000000011&c111&cMX.3~000000,00000000011-111-MX,00000000011,111,MX,0001001725,Louie Kozey / some-value some-value / 08100 Disctric Name - some-value-Disctric,Louie Kozey,1,Person,MX,México,,,some-value,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,200000.00,20220120,30,"activos, utilizados",20220120,/Date(1642648048000)/,TU_SCP_NCO,20220831,/Date(1661920892000)/,BATCH_USER,47.000000,36033.21,0.000000,200000.00,1001725,10000002981-111-MX,10000002981,111,MX,20220120,20220420,P3M,200000.00,20220120,20220420,19000101,99991231,0.000000,,,,,,,,False,200000.00,0.00,200000.00,0.00,0.00,200000.00,0.00,0.00,0.00,0.00,200000.00,0.00,0.00,0.00,0.00,0.00,0,,0,,,,,,,20220120,,,,,,,,,N,No,,,1,0,Quincenal,1
.2~00000000100&c111&cMX.3~000000,00000000100-111-MX,00000000100,111,MX,0001001724,Louie Kozey / some-value some-value / 08100 Disctric Name - some-value-Disctric,Louie Kozey,1,Person,MX,México,,,some-value,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,200000.00,20220120,30,"activos, utilizados",20220120,/Date(1642647988000)/,TU_SCP_NCO,20220831,/Date(1661921052000)/,BATCH_USER,47.000000,36033.21,0.000000,200000.00,1001724,10000002980-111-MX,10000002980,111,MX,20220120,20220420,P3M,200000.00,20220120,20220420,19000101,99991231,0.000000,,,,,,,,False,200000.00,0.00,200000.00,0.00,0.00,200000.00,0.00,0.00,0.00,0.00,200000.00,0.00,0.00,0.00,0.00,0.00,0,,0,,,,,,,20220120,,,,,,,,,N,No,,,1,0,Quincenal,1
.2~00000000200&c111&cMX.3~000000,00000000200-111-MX,00000000200,111,MX,0001001730,Louie Kozey / some-value some-value / 08100 Disctric Name - some-value-Disctric,Louie Kozey,1,Person,MX,México,,,some-value,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,200000.00,20220120,30,"activos, utilizados",20220120,/Date(1642648894000)/,TU_SCP_NCO,20220831,/Date(1661920904000)/,BATCH_USER,47.000000,36033.21,0.000000,200000.00,1001730,10000002987-111-MX,10000002987,111,MX,20220120,20220420,P3M,200000.00,20220120,20220420,19000101,99991231,0.000000,,,,,,,,False,200000.00,0.00,200000.00,0.00,0.00,200000.00,0.00,0.00,0.00,0.00,200000.00,0.00,0.00,0.00,0.00,0.00,0,,0,,,,,,,20220120,,,,,,,,,N,No,,,1,0,Quincenal,1
.2~03017001318&c111&cMX.3~030170,03017001318-111-MX,03017001318,111,MX,0001003344,Eduardo SAP / ESC 1 / 07320 TICO - Gustavo A. Madero-TICO,Eduardo SAP,1,Person,MX,México,,,Gustavo A. Madero,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,200000.00,20220225,30,"activos, utilizados",20220225,/Date(1645810000000)/,TU_SCP_NCO,20220831,/Date(1661921093000)/,BATCH_USER,48.000000,27688.68,0.000000,200000.00,1003344,03017001309-111-MX,03017001309,111,MX,20220225,20221125,P9M,200000.00,20220225,20221125,20220926,20221125,53.383182,1,Legal Effective Yield,2,AIBD/ISMA,20220225,20220225,20221125,False,200000.00,200000.00,200000.00,200000.00,200000.00,75867.11,75867.11,606.94,75867.11,0.00,0.00,36206.19,708.09,76571.16,0.00,0.00,0,,0,,,,,,,20220225,,,,,,,,,N,No,,,1,9,Mensual,1
.2~03017001354&c222&cMX.3~030170,03017001354-222-MX,03017001354,222,MX,0001000374,Jesus Sergio Galvan Flores / Constitución 457 / 66600 Col. Independencia - Apoda,Jesus Sergio Galvan Flores,1,Person,MX,México,NL,Nuevo Leon - NU,Apodaca,50000002,TEST 2,C4B2,,EPC_LA_PE1,Préstamo Personal,MXN,50000.00,20001201,30,"activos, utilizados",20220225,/Date(1645813376000)/,C5320440,20220225,/Date(1645813617000)/,C5320440,14.000000,4542.22,0.000000,50000.00,Jesus Sergio Galvan Flores,10000004698-222-MX,10000004698,222,MX,20001201,20011201,P1Y,50000.00,20001201,20011201,19000101,99991231,0.000000,,,,,,,,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4542.22,3,20010101,,6,in Arrears - more than 360 days,,,,,20001201,,,,,,,,,N,No,,,,,Mensual,1
.2~03017001363&c222&cMX.3~030170,03017001363-222-MX,03017001363,222,MX,0001000374,Jesus Sergio Galvan Flores / Constitución 457 / 66600 Col. Independencia - Apoda,Jesus Sergio Galvan Flores,1,Person,MX,México,NL,Nuevo Leon - NU,Apodaca,50000002,TEST 2,C4B2,,EPC_LA_PE1,Préstamo Personal,MXN,60000.00,20001201,30,"activos, utilizados",20220225,/Date(1645813483000)/,C5320440,20220225,/Date(1645813661000)/,C5320440,15.000000,5483.68,0.000000,60000.00,Jesus Sergio Galvan Flores,10000004698-222-MX,10000004698,222,MX,20001201,20011201,P1Y,60000.00,20001201,20011201,19000101,99991231,0.000000,,,,,,,,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5483.68,3,20010101,,6,in Arrears - more than 360 days,,,,,20001201,,,,,,,,,N,No,,,,,Mensual,1
.2~03017001372&c222&cMX.3~030170,03017001372-222-MX,03017001372,222,MX,0001000374,Jesus Sergio Galvan Flores / Constitución 457 / 66600 Col. Independencia - Apoda,Jesus Sergio Galvan Flores,1,Person,MX,México,NL,Nuevo Leon - NU,Apodaca,50000002,TEST 2,C4B2,,EPC_LA_PE1,Préstamo Personal,MXN,65200.00,20001201,30,"activos, utilizados",20220225,/Date(1645813549000)/,C5320440,20220225,/Date(1645813684000)/,C5320440,18.000000,6067.26,0.000000,65200.00,Jesus Sergio Galvan Flores,10000004698-222-MX,10000004698,222,MX,20001201,20011201,P1Y,65200.00,20001201,20011201,19000101,99991231,19.800242,1,Legal Effective Yield,2,AIBD/ISMA,20001201,20001201,20011201,False,65200.00,0.00,65200.00,0.00,65200.00,0.00,65200.00,-6653.17,0.00,0.00,0.00,0.00,0.00,71853.17,0.00,6067.26,3,20010101,,6,in Arrears - more than 360 days,,,,,20001201,,,,,,,,,N,No,,,,,Mensual,1
.2~03017001390&c111&cMX.3~030170,03017001390-111-MX,03017001390,111,MX,0001003345,Carlos González / some-value 123 / 08100 some-value - some-value-some-value,Carlos González,1,Person,MX,México,,,some-value,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,2000000.00,20220225,30,"activos, utilizados",20220225,/Date(1645814970000)/,TU_SCP_NCO,20220831,/Date(1661920925000)/,BATCH_USER,47.000000,388299.10,0.000000,2000000.00,1003345,03017001381-111-MX,03017001381,111,MX,20220225,20220825,P6M,2000000.00,20220225,20220825,19000101,99991231,47.183298,1,Legal Effective Yield,2,AIBD/ISMA,20220225,20220225,20220825,False,2000000.00,0.00,2000000.00,0.00,1500000.00,0.00,334081.74,4972.49,0.00,600.00,500000.00,155304.72,0.00,340545.83,0.00,340545.83,8,20220625,65,2,in Arrears - 60 days up to 89 days,,,,,20220225,,,,,,,,,N,No,,,2,5,Mensual,1
.2~03017001411&c111&cMX.3~030170,03017001411-111-MX,03017001411,111,MX,0001000002,Rafael Deschamps,Rafael Deschamps,1,Person,,,,,,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,10000.00,20220225,50,Desglosado,20220225,/Date(1645818393000)/,C5309564,20220303,/Date(1646346357000)/,C5309564,3.000000,849.13,0.000000,10000.00,Rafael Deschamps,10000001471-111-MX,10000001471,111,MX,20220225,20230225,P1Y,10000.00,20220225,20230225,,,0.000000,,,,,,,,False,10000.00,10000.00,10000.00,10000.00,0.00,10000.00,0.00,0.00,0.00,0.00,10000.00,0.00,0.00,0.00,0.00,0.00,0,,0,,,,,,,20220225,,,,,,,,,N,No,,,1,,Mensual,1
.2~03017001505&c111&cMX.3~030170,03017001505-111-MX,03017001505,111,MX,0001003373,Jose Fernando / AND MARIQUITA SANCHEZ MZA G EDIF 95301 95 / 04480 COYOACÁN-CULHU,Jose Fernando,1,Person,MX,México,,,COYOACÁN,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,15000.00,20220228,30,"activos, utilizados",20220228,/Date(1646086968000)/,TU_SCP_NCO,20220831,/Date(1661921033000)/,BATCH_USER,42.000000,2867.02,0.000000,15000.00,1003373,03017001493-111-MX,03017001493,111,MX,20220228,20220828,P6M,15000.00,20220228,20220828,19000101,99991231,42.469816,1,Legal Effective Yield,2,AIBD/ISMA,20220228,20220228,20220828,False,15000.00,0.00,15000.00,0.00,15000.00,4.82,7916.30,0.02,4.82,0.00,0.00,1282.09,0.02,0.02,0.00,0.00,0,,0,,,,,,,20220228,,,,,,,,,N,No,,,1,6,Mensual,1
.2~03017001569&c111&cMX.3~030170,03017001569-111-MX,03017001569,111,MX,0001003381,Arturo Bypassfad / some-value 123 / 08100 some-value - some-value-some-value,Arturo Bypassfad,1,Person,MX,México,,,some-value,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,120000.00,20220301,30,"activos, utilizados",20220301,/Date(1646145495000)/,TU_SCP_NCO,20220831,/Date(1661920912000)/,BATCH_USER,28.000000,21936.82,0.000000,120000.00,1003381,03017001550-111-MX,03017001550,111,MX,20220301,20220901,P6M,120000.00,20220301,20220901,20220901,20220901,24.396909,1,Legal Effective Yield,2,AIBD/ISMA,20220301,20220301,20220901,False,120000.00,120000.00,120000.00,120000.00,120000.00,21561.86,81175.87,503.11,21561.86,0.00,0.00,4353.03,519.88,22145.47,0.00,0.00,0,,0,,,,,,,20220301,,,,,,,,,N,No,,,1,6,Mensual,1
.2~03017001587&c111&cMX.3~030170,03017001587-111-MX,03017001587,111,MX,0001003382,Jesus Bypassfad / some-value 123 / 08100 some-value - some-value-some-value,Jesus Bypassfad,1,Person,MX,México,,,some-value,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,35000.00,20220301,30,"activos, utilizados",20220301,/Date(1646145922000)/,TU_SCP_NCO,20220831,/Date(1661920857000)/,BATCH_USER,34.000000,6522.43,0.000000,35000.00,1003382,03017001578-111-MX,03017001578,111,MX,20220301,20220901,P6M,35000.00,20220301,20220901,20220901,20220901,32.003075,1,Legal Effective Yield,2,AIBD/ISMA,20220301,20220301,20220901,False,35000.00,35000.00,35000.00,35000.00,35000.00,6390.41,23748.77,181.06,6390.41,0.00,0.00,1546.23,187.10,6600.44,0.00,0.00,0,,0,,,,,,,20220301,,,,,,,,,N,No,,,1,6,Mensual,1
.2~03017001644&c111&cMX.3~030170,03017001644-111-MX,03017001644,111,MX,0001003385,Juan Lemy / Del Sendero 607 123 / 85134 some-value - Cajeme-some-value,Juan Lemy,1,Person,MX,México,SON,Sonora,Cajeme,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,20000.00,20220301,30,"activos, utilizados",20220301,/Date(1646163721000)/,TU_SCP_NCO,20220831,/Date(1661920904000)/,BATCH_USER,47.000000,3882.99,0.000000,20000.00,1003385,03017001635-111-MX,03017001635,111,MX,20220301,20220901,P6M,20000.00,20220301,20220901,20220901,20220901,49.964077,1,Legal Effective Yield,2,AIBD/ISMA,20220301,20220301,20220901,False,20000.00,20000.00,20000.00,20000.00,20000.00,3778.66,13659.75,148.00,3778.66,0.00,0.00,1229.08,152.93,3950.34,0.00,0.00,0,,0,,,,,,,20220301,,,,,,,,,N,No,,,1,6,Mensual,1
.2~03017001699&c111&cMX.3~030170,03017001699-111-MX,03017001699,111,MX,0001003386,Juan Lemy / Del Sendero 607 123 / 85134 some-value - Cajeme-some-value,Juan Lemy,1,Person,MX,México,SON,Sonora,Cajeme,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,20000.00,20220301,30,"activos, utilizados",20220301,/Date(1646164448000)/,TU_SCP_NCO,20220831,/Date(1661920967000)/,BATCH_USER,47.000000,3882.99,0.000000,20000.00,1003386,03017001680-111-MX,03017001680,111,MX,20220301,20220901,P6M,20000.00,20220301,20220901,20220901,20220901,49.964077,1,Legal Effective Yield,2,AIBD/ISMA,20220301,20220301,20220901,False,20000.00,20000.00,20000.00,20000.00,20000.00,3778.66,10551.67,148.00,3778.66,0.00,0.00,1897.11,152.93,3950.34,0.00,0.00,0,,0,,,,,,,20220301,,,,,,,,,N,No,,,1,6,Mensual,1
.2~03017001738&c222&cMX.3~030170,03017001738-222-MX,03017001738,222,MX,0001000374,Jesus Sergio Galvan Flores / Constitución 457 / 66600 Col. Independencia - Apoda,Jesus Sergio Galvan Flores,1,Person,MX,México,NL,Nuevo Leon - NU,Apodaca,50000002,TEST 2,C4B2,,EPC_LA_PE1,Préstamo Personal,MXN,33000.00,20010102,30,"activos, utilizados",20220301,/Date(1646177334000)/,C5320440,20220301,/Date(1646177547000)/,C5320440,15.000000,3016.02,0.000000,33000.00,Jesus Sergio Galvan Flores,10000004698-222-MX,10000004698,222,MX,20010102,20020102,P1Y,33000.00,20010102,20020102,19000101,99991231,0.000000,,,,,,,,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3016.02,3,20010202,,6,in Arrears - more than 360 days,,,,,20010102,,,,,,,,,N,No,,,,,Mensual,1
.2~03017001747&c111&cMX.3~030170,03017001747-111-MX,03017001747,111,MX,0001000022,Luis Lopez lopex / CEDROS NA / 80138 C LOS CEDROS 7137 - CULIACAN-C LOS CEDROS 7,Luis Lopez lopex,1,Person,MX,México,,,CULIACAN,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,50000.00,20220301,20,"activos, aún no utilizados",20220301,/Date(1646178140000)/,JMANCILLA,20220302,/Date(1646199451000)/,BATCH_USER,0.000000,0.00,0.000000,50000.00,,,,,,,,P   0D,0.00,,,19000101,99991231,0.000000,,,,,,,,False,50000.00,0.00,50000.00,0.00,0.00,50000.00,0.00,0.00,0.00,0.00,50000.00,0.00,0.00,0.00,0.00,0.00,0,,0,,,,,,,20220301,,,,,,,,,,,,,1,,,1
.2~03017001756&c111&cMX.3~030170,03017001756-111-MX,03017001756,111,MX,0001000022,Luis Lopez lopex / CEDROS NA / 80138 C LOS CEDROS 7137 - CULIACAN-C LOS CEDROS 7,Luis Lopez lopex,1,Person,MX,México,,,CULIACAN,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,50000.00,20220301,30,"activos, utilizados",20220301,/Date(1646178538000)/,JMANCILLA,20220831,/Date(1661920899000)/,BATCH_USER,0.000000,0.00,0.000000,50000.00,,,,,,,,P   0D,0.00,,,19000101,99991231,0.000000,,,,,,,,False,50000.00,0.00,50000.00,0.00,0.00,50000.00,0.00,0.00,0.00,0.00,50000.00,0.00,0.00,0.00,0.00,0.00,0,,0,,,,,,,20220301,,,,,,,,,,,,,1,0,,1
.2~03017001765&c111&cMX.3~030170,03017001765-111-MX,03017001765,111,MX,0001000022,Luis Lopez lopex / CEDROS NA / 80138 C LOS CEDROS 7137 - CULIACAN-C LOS CEDROS 7,Luis Lopez lopex,1,Person,MX,México,,,CULIACAN,50000000,Banco Bineo,S4B1,,EPC_LA_NM1,Préstamo de Nómina,MXN,50000.00,20220301,20,"activos, aún no utilizados",20220301,/Date(1646179133000)/,JMANCILLA,20220302,/Date(1646199453000)/,BATCH_USER,0.000000,0.00,0.000000,50000.00,,,,,,,,P   0D,0.00,,,19000101,99991231,0.000000,,,,,,,,False,50000.00,0.00,50000.00,0.00,0.00,50000.00,0.00,0.00,0.00,0.00,50000.00,0.00,0.00,0.00,0.00,0.00,0,,0,,,,,,,20220301,,,,,,,,,,,,,1,,,1
.2~03017001774&c111&cMX.3~030170,03017001774-111-MX,03017001774,111,MX,0001000729,Test ECL / Sur 126 109 / 01620 Disctric Name - Ciudad de México-Disctric Name,Test ECL,1,Person,MX,México,DF,Mexico City - NU,Ciudad de México,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,20000.00,20220301,30,"activos, utilizados",20220302,/Date(1646180518000)/,TU_SCP_APIM,20220831,/Date(1661921027000)/,BATCH_USER,47.000000,1922.89,0.000000,20000.00,Yessenia Funk,10000001710-111-MX,10000001710,111,MX,20220301,20220901,P6M,20000.00,20220301,20220901,,,60.993971,1,Legal Effective Yield,2,AIBD/ISMA,20220301,20220301,20220901,False,20000.00,20000.00,20000.00,20000.00,0.00,20000.00,0.00,0.00,0.00,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,0,,0,,,,,,,20220301,,,,,,,,,N,No,,,1,1,Quincenal,1
.2~03017001804&c111&cMX.3~030170,03017001804-111-MX,03017001804,111,MX,0001003420,Liliana Bypassfad / some-value 123 / 08100 some-value - some-value-some-value,Liliana Bypassfad,1,Person,MX,México,,,some-value,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,15000.00,20220302,30,"activos, utilizados",20220302,/Date(1646245486000)/,TU_SCP_NCO,20220831,/Date(1661920904000)/,BATCH_USER,34.000000,1208.14,0.000000,15000.00,1003420,03017001792-111-MX,03017001792,111,MX,20220302,20220829,P180D,15000.00,20220302,20220829,19000101,99991231,40.660009,1,Legal Effective Yield,2,AIBD/ISMA,20220302,20220302,20220816,False,15000.00,0.00,15000.00,0.00,15000.00,0.00,8866.43,0.00,0.00,300.00,0.00,961.44,0.00,2161.47,0.00,2161.47,3,20220816,15,0,with due/overdue receivables up to 29 days,,,,,20220302,,,,,,,,,N,No,,,1,11,Quincenal,1
.2~03017001822&c111&cMX.3~030170,03017001822-111-MX,03017001822,111,MX,0001003449,Jorge Bypassfad / some-value 123 / 08100 some-value - some-value-some-value,Jorge Bypassfad,1,Person,MX,México,,,some-value,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,25000.00,20220302,30,"activos, utilizados",20220302,/Date(1646250185000)/,TU_SCP_NCO,20220831,/Date(1661920925000)/,BATCH_USER,48.000000,3934.15,0.000000,25000.00,1003449,03017001813-111-MX,03017001813,111,MX,20220302,20220902,P6M,25000.00,20220302,20220902,20220902,20220902,51.210859,1,Legal Effective Yield,2,AIBD/ISMA,20220302,20220302,20220902,False,25000.00,25000.00,25000.00,25000.00,25000.00,3748.50,6885.97,144.94,3748.50,0.00,0.00,2120.19,149.94,3916.63,0.00,0.00,0,,0,,,,,,,20220302,,,,,,,,,N,No,,,1,6,Mensual,1
.2~03017001868&c111&cMX.3~030170,03017001868-111-MX,03017001868,111,MX,0001003488,Juan Lemy / Del Sendero 607 123 / 85134 some-value - Cajeme-some-value,Juan Lemy,1,Person,MX,México,SON,Sonora,Cajeme,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,20000.00,20220303,30,"activos, utilizados",20220303,/Date(1646334276000)/,TU_SCP_NCO,20220831,/Date(1661920997000)/,BATCH_USER,47.000000,3882.99,0.000000,20000.00,1003488,03017001859-111-MX,03017001859,111,MX,20220303,20220903,P6M,20000.00,20220303,20220903,20220905,20220905,50.129132,1,Legal Effective Yield,2,AIBD/ISMA,20220303,20220303,20220903,False,20000.00,20000.00,20000.00,20000.00,20000.00,3779.38,3779.38,138.16,3779.38,0.00,0.00,2728.04,143.09,3939.65,0.00,0.00,0,,0,,,,,,,20220303,,,,,,,,,N,No,,,1,6,Mensual,1
.2~03017001886&c111&cMX.3~030170,03017001886-111-MX,03017001886,111,MX,0001003489,Juan Lemy / Del Sendero 607 123 / 85134 some-value - Cajeme-some-value,Juan Lemy,1,Person,MX,México,SON,Sonora,Cajeme,50000000,Banco Bineo,S4B1,,EPC_LA_PE1,Préstamo Personal,MXN,20000.00,20220303,30,"activos, utilizados",20220303,/Date(1646334404000)/,TU_SCP_NCO,20220831,/Date(1661920879000)/,BATCH_USER,47.000000,3882.99,0.000000,20000.00,1003489,03017001877-111-MX,03017001877,111,MX,20220303,20220903,P6M,20000.00,20220303,20220903,20220905,20220905,50.129132,1,Legal Effective Yield,2,AIBD/ISMA,20220303,20220303,20220903,False,20000.00,20000.00,20000.00,20000.00,20000.00,3779.38,3779.38,138.16,3779.38,0.00,0.00,2728.04,143.09,3939.65,0.00,0.00,0,,0,,,,,,,20220303,,,,,,,,,N,No,,,1,6,Mensual,1
