ID,Grouping,Name,Title,TitleTxt,AcademicTitle,AcademicTitleTxt,FirstName,MiddleName,LastName,LastName2,BirthPlaceName,BirthDate,Gender,MaritalStatus,MaritalStatusTxt,Nationality,NationalityTxt,IDCard,Passport,SocialSecurityNumber,TaxNumber,TaxNumberStatus,TaxNumberStatusTxt,TaxExemptionCode,TaxExemptionName,isAccountHolder,isAuthorizedDrawer,isCorrespondenceRecipient,isMainLoanPartner,isBorrower,isEmployee,isVIP,Address,AddressCountry,AddressCountryTxt,AddressRegion,AddressRegionTxt,AddressCity,AddressPostalCode,AddressDistrictName,AddressStreet,AddressHouseID,AddressRoomID,PhoneNumber,EmailAddress,MobileNumber,BankAccountID,BankRoutingID,BankCountryCode,BankAccountStandardID,BankAccountCollectionAuthorization,RatingGrade,RatingDate,RatingOutlook,EconomicAct,EconomicActTxt,ResourceOrigin,ResourceOriginTxt,ResourceDestination,ResourceDestinationTxt,NatPersCommAct,NatPersCommActTxt,NegativeListStatus,NegativeListStatusTxt,AcqChannel,AcqChannelTxt,CustSegment,CustSegmentTxt,ExtUUIDProspection,Geolocation,VoterID,ForeignTax,MonthlyDepNum,MonthlyDepAmt,MonthlyWhdNum,MonthlyWhdAmt,KYCAccount,KYCClabe,BeneficiaryShare,IpabExcl,AccStSuprrName,AccStObfAcc
1002620,BP02,DimeBag Darrel,0002,Sr.,,,DimeBag,Abbot,Darrel,Paul,CDMX,/Date(566265600000)/,1,2,Casado,MX,México,123456789,123456789,44398745123,,,,,,True,True,True,True,False,False,False,,MX,México,DF,Mexico City - NU,Mexico City,01620,Disctric Name,Sur 126,109,,3331122654,ecl20220128001@gmail.com,3331122654,,,,,False,,,,0100008,AGRICULTURA,012,Sueldos,001,Uso Personal,X,Sí,01,En Lista Negativa,01,Venta propia,03,Valor Bajo,TestEXTUUIDPros,"19.43265,-99.133155",INE123456789876998,X,001,100.00,002,100.00,ABC123,012365478965412321,50.00,,,
1002272,BP02,Bebeto Yunta,,,,,Bebeto,,Yunta,,,,1,,,,,,,,,,Not Quoted,,,True,False,True,True,False,False,False,,MX,México,,,,,,,,,,,,,,,,False,,,,,,,,,,,No,,,,,,,,,,,,0.00,,0.00,,,0.00,,,
1000041,BP02,Juan López,,,,,Juan,,López,,,,,,,,,GODC850129HDFNSR08,,,,,Not Quoted,,,True,False,True,True,False,False,False,,MX,México,,,,,,,NA,,012909H300,juan@bla.com,5544332212,,,,,False,,,,,,,,,,,No,,,,,,,,,,,,0.00,,0.00,,,0.00,,,
1000067,BP02,Borrado Borrado,,,,,Borrado,Borrado,Borrado,Borrado,,,,,,,,JASC870309HGPCLR03,,AAAA01191984MMM,AAAA01191984MMM,,Not Quoted,,,True,False,True,True,False,False,False,,MX,México,,,,,,,NA,,,correoborrado@c4b.com,1234567890,,,,,False,,,,,,,,,,,No,,,,,,,,,,,,0.00,,0.00,,,0.00,,,
1002273,BP02,Betsabeth Yendra,,,,,Betsabeth,,Yendra,,,,2,,,,,,,,,,Not Quoted,,,True,False,True,True,False,False,False,,MX,México,,,,,,,,,,,,,,,,False,,,,,,,,,,,No,,,,,,,,,,,,0.00,,0.00,,,0.00,,,
1000039,BP02,Carlos González,,,,,Carlos,,González,,,,,,,,,GODC850129HDFNSR08,,,,,Not Quoted,,,True,False,True,True,False,False,False,,MX,México,,,,,,,NA,,012909H300,carlosd9@backbase.com,5544332211,,,,,False,,,,,,,,,,,No,,,,,,,,,,,,0.00,,0.00,,,0.00,,,
1000111,BP02,Luis adan Hernandez,,,,,Luis adan,,Hernandez,,,,,,,,,HEGL940404HNLRRS05,,123456789,123456789,,Not Quoted,,,True,False,True,True,False,False,False,,MX,México,,,,,,,NA,,040419H700,sincorreo@test.com,1000000001,,,,,False,,,,,,,,,,,No,,,,,,,,,,,,0.00,,0.00,,,0.00,,,
1002279,BP02,Constanzo Xavier,0002,Sr.,,,Constanzo,,Xavier,,,,1,,,,,,,,,,Not Quoted,,,True,False,True,True,False,False,False,,MX,México,,,,,,,,,,,,,,,,False,,,,,,,,,,,No,,,,,,,,,,,,0.00,,0.00,,,0.00,,,
1000031,BP02,Arturo De laTorre,,,,,Arturo,,De laTorre,,,,,,,,,TOGA791017HDFRRR14,,,,,Not Quoted,,,True,False,True,True,False,False,False,,MX,México,,,,,,,NA,,101709H600,arybdhdk@jekdlkf.com,1212121212,,,,,False,,,,,,,,,,,No,,,,,,,,,,,,0.00,,0.00,,,0.00,,,
1000091,BP02,Eduardo Carrasco,,,,,Eduardo,,Carrasco,,,,,,,,,GORA891208MDFNDN01,,,,,Not Quoted,,,True,False,True,True,False,False,False,,MX,México,,,,,,,NA,,,ecarrasco.pv@hotmail.com,5547793679,,,,,False,,,,,,,,,,,No,,,,,,,,,,,,0.00,,0.00,,,0.00,,,
